,text,notes,date
/federal-workers-payroll-taxes-deferred-trump-executive-directive-paycheck-withholding-2020-9,'A guinea pig for a bad policy': 1.3 million federal workers will have payroll taxes deferred under a controversial new directive from Trump,,20200902-0000
https://markets.businessinsider.com/news/stocks/stock-market-news-today-sp500-nasdaq-records-tech-rally-pmi-2020-9-1029553896,S&P 500 and Nasdaq close at fresh records as investors flock to work-from-home stocks,,20200902-0000
/trump-ingraham-fox-news-interview-went-off-the-rails-2020-9,"Trump's rambling, lie-filled interview with Laura Ingraham on Fox News went way off the rails, even by his standards",,20200902-0000
/sequoia-capital-vcs-billion-dollar-startups-file-ipos-2020-8,"The 22 investors with the most to gain from the herd of unicorns about to go public, with estimated stakes ranging from about $50 million to nearly $2 billion",,20200902-0000
/zoom-earnings-billionaire-ceo-eric-yuan-5-billion-one-day-2020-9,Zoom CEO Eric Yuan made $5 billion in one day as the videoconference company reported record earnings,,20200902-0000
/usps-watchdog-inspector-general-dejoy-vote-mail-problems-2020-election-2020-9,"A new report from the US Postal Service's internal watchdog warns that late ballots, bad envelope designs, and outdated registries could jeopardize voting in November",,20200902-0000
/tesla-market-cap-no-7-largest-us-company-share-split-2020-9,Tesla moved into the No. 7 spot for most valuable US companies by market cap,,20200902-0000
/16-year-old-makes-6-figures-selling-sneakers-shares-spreadsheet-2020-8,"A 16-year-old who has brought in over $43,000 in sneaker sales this year shares the meticulous spreadsheet that he says is the reason for his success",,20200902-0000
/san-francisco-rent-prices-plunge-overall-us-real-estate-recovering-2020-9,"San Francisco rents are plunging to the lowest levels in 6 years, even as the US housing market stages a comeback",,20200902-0000
/los-angeles-bel-air-mansion-billionaire-price-cut-photos-2019-1,"Look inside what was once America's most expensive home, a Los Angeles megamansion that sold for less than 40% of its asking price after 3 years",,20200902-0000
/2021-rolls-royce-ghost-new-specs-features-2020-8,"The Rolls-Royce Ghost just got its first full revamp in 10 years — check out the $300,000 car's most opulent form yet",,20200902-0000
https://www.insider.com/hurricane-laura-toxic-chemicals-lake-charles-louisiana-2020-8,"Toxic chemicals have spilled into the air in Louisiana due to Hurricane Laura — but air monitors died, making the danger unmeasurable",,20200902-0000
/stocks-to-buy-25-owned-outperforming-women-fund-managers-gs-2020-9,GOLDMAN SACHS: Female portfolio managers are outperforming their male counterparts so far in 2020. These are the 25 stocks they own the most compared to men.,,20200902-0000
https://www.businessinsider.com/infographic-5-factors-transforming-healthcare-experience,These 5 factors are transforming the healthcare experience for both patients and doctors,,20200902-0000
/zoom-meteoric-rise-2020-charts-revenue-earnings-coronavirus-remote-work-2020-9,Five incredible charts show Zoom's meteoric rise in the past year — including a 355% revenue boost — as the pandemic has turned it into a household name,,20200902-0000
https://www.businessinsider.com/monetization-of-open-banking-report,"THE MONETIZATION OF OPEN BANKING: How legacy institutions can use open banking to develop new revenue streams, reach more customers, and avoid losing out to neobanks and fintechs",,20200902-0000
/air-force-moving-on-plan-for-supersonic-air-force-one-2020-9,The Air Force is moving forward with a plan to build a supersonic Air Force One,,20200902-0000
/trump-administration-eviction-moratorium-renters-2020-9,"The Trump administration is moving to implement a 4-month eviction moratorium for tenants earning under $99,000 a year",,20200902-0000
/russia-declassified-footage-of-largest-nuclear-blast-tsar-bomba-2020-9,Russia released secret footage of history's largest man-made explosion — a nuclear blast thousands of times stronger than Hiroshima,,20200902-0000
https://www.businessinsider.com/intelligence/winning-strategies-for-ai-in-banking?IR=T&itm_source=businessinsider&itm_medium=content_marketing&itm_campaign=leadgen_teaser&itm_content=winning-strategies-for-ai-in-banking-preview-2020-1&itm_term=content_marketing_leadgen_link,These are the winning strategies for AI in banking,,20200902-0000
/best-xbox-deals,"The best deals on Xbox One consoles, controllers, and games right now — including $14 off 'Assassin's Creed Odyssey'",,20200902-0000
/walmarts-big-ambitions-to-take-on-amazon-newsletter-2020-9,Walmart's big ambitions to take on Amazon,,20200902-0000
/sour-cheese-queijaria-furnense-portugal-azores-volcanic-mineral-water-2020-9,A 21-year-old entrepreneur is making sour cheese from volcanic mineral water,,20200902-0000
/apple-expects-no-change-iphone-sales-this-year-pandemic-19-2020-9,"Apple says it expects no change to new iPhone sales this year, despite the pandemic and high unemployment rate",,20200902-0000
https://www.insider.com/whistleblower-la-sheriffs-office-gang-celebrates-police-shootings-2020-9,An LA deputy who fatally shot a teen in June is accused of hoping to join a sheriff's 'gang' with matching tattoos that is said to celebrate killing people,,20200902-0000
/mark-zuckerberg-priscilla-chan-donate-300-million-2020-election-2020-9,Mark Zuckerberg and Priscilla Chan are donating $300 million to promote safe voting in the 2020 election,,20200902-0000
/fbi-amazon-ring-surveillance-doorbells-spying-police-raids-leaked-report-2020-9,"Police use footage from Amazon's Ring doorbells for investigations, but leaked documents reveal the FBI is concerned that homeowners could spy on officers",,20200902-0000
/why-brain-isnt-wired-deal-with-pandemic-what-to-do-2020-9,"Your brain is a prediction-making machine, which is why it isn't wired to deal with a pandemic. Here's what to do about it.",,20200902-0000
/u-haul-in-new-york-city-why-they-were-moving-2020-9,We spoke with 7 people in line to rent U-Haul trucks in NYC and asked why they were moving. Fewer than half were leaving the city.,,20200902-0000
/police-arrested-food-truck-workers-held-them-for-48-hours-2020-9,"Police arrested food truck workers at gunpoint and jailed them for 48 hours to try to keep them from Kenosha protests, attorneys say",,20200902-0000
/robinhoods-pr-head-leaves-the-trading-app-company-2020-9,Robinhood's PR chief is leaving the popular trading app and the company is searching for a replacement,,20200902-0000
/army-officer-tiktok-video-holocaust-joke-fans-2020-9,Fans are flocking to support the US Army officer who was suspended for a Holocaust joke in his TikTok video,,20200902-0000
/skin-care-with-fruits-and-vegetables,14 products that use fruit and vegetable extracts to nourish skin and strengthen hair,,20200902-0000
/this-founder-runs-dinners-where-ceos-discuss-their-mental-health-2020-9,"Homebound founder John Meyer created 'vulnerability dinners' where other founders can safely talk about their struggles, with a waiting list in the hundreds",,20200902-0000
/lesser-known-cofounders-of-big-tech-companies-and-where-they-are-now-2018-3,"From Facebook to Tesla, here are the lesser-known cofounders of some of the biggest tech companies in the world",,20200902-0000
/personal-finance/reasons-to-get-the-penfed-power-cash-rewards-card,PenFed's cash-back card could be a better option than heavyweights like the Citi Double Cash — with one important caveat,,20200902-0000
/agoraphobic-traveler-shares-her-tips-for-virtual-travel-google-streetview-2020-5,Meet the agoraphobic photographer who uses Google Street View to 'travel' to the most remote places on Earth,,20200902-0000
/labor-day-furniture-sales,The best Labor Day furniture sales to shop this weekend,,20200902-0000
/best-bike-lock,The best bike locks,,20200902-0000
/roller-skates-selling-out-americans-seek-nostalgic-pastimes-during-pandemic-2020-9,Roller skates are selling out everywhere as Americans seek nostalgic outdoor pastimes that provide a 'light-hearted escape from reality',,20200902-0000
/elon-musk-worlds-3rd-richest-person-tesla-stock-split-2020-9,Elon Musk just passed Mark Zuckerberg to become the 3rd-richest person in the world,,20200902-0000
/apple-watch-series-6-rumors-cheaper-price-watch-launch-2020-9,"Apple is expected to release 2 new Apple Watch models this fall for the first time, including a cheaper watch to rival Fitbit",,20200902-0000
/aston-martin-db5-junior-vantage-toy-sports-car-electric-minature-2020-8,"Aston Martin is selling $60,000 electric kiddie versions of one of its iconic 1960s sports cars. Take a closer look.",,20200902-0000
/pentagon-discloses-count-of-chinas-nuclear-warheads-in-new-report-2020-9,Pentagon discloses its count of China's nuclear warheads and says the arsenal could double this decade,,20200902-0000
/what-is-coursera,"Everything you need to know about Coursera, an online learning platform that offers over 3,000 classes from some of the world's best universities",,20200902-0000
/coursera-workforce-recovery-initiative,Coursera's Workforce Recovery Initiative gives unemployed workers free access to 90% of its online course catalog — here's how it works,,20200902-0000
/air-force-xf108-super-fighter-never-flew-2020-9,The Air Force developed a super fighter that never even got off the ground,,20200902-0000
https://markets.businessinsider.com/news/stocks/stock-market-outlook-bridgewater-co-cio-investors-shifting-too-much-2020-9-1029554019,"Investors are shifting too much into stocks, investment chief of world's largest hedge fund says",,20200902-0000
/gorreana-tea-plantation-azores-portugal-sao-miguel-water-2020-9,The oldest tea plantation in Europe has been powered entirely by water for 6 generations,,20200902-0000
/chewy-autoship-pet-supplies-review,I use Chewy to regularly save up to 10% on pet supplies — it's even known to send personalized pet portraits as a surprise,,20200902-0000
/federal-workers-payroll-taxes-deferred-trump-executive-directive-paycheck-withholding-2020-9,'A guinea pig for a bad policy': 1.3 million federal workers will have payroll taxes deferred under a controversial new directive from Trump,,20200902-0030
https://markets.businessinsider.com/news/stocks/stock-market-news-today-sp500-nasdaq-records-tech-rally-pmi-2020-9-1029553896,S&P 500 and Nasdaq close at fresh records as investors flock to work-from-home stocks,,20200902-0030
/trump-ingraham-fox-news-interview-went-off-the-rails-2020-9,"Trump's rambling, lie-filled interview with Laura Ingraham on Fox News went way off the rails, even by his standards",,20200902-0030
/sequoia-capital-vcs-billion-dollar-startups-file-ipos-2020-8,"The 22 investors with the most to gain from the herd of unicorns about to go public, with estimated stakes ranging from about $50 million to nearly $2 billion",,20200902-0030
/zoom-earnings-billionaire-ceo-eric-yuan-5-billion-one-day-2020-9,Zoom CEO Eric Yuan made $5 billion in one day as the videoconference company reported record earnings,,20200902-0030
/usps-watchdog-inspector-general-dejoy-vote-mail-problems-2020-election-2020-9,"A new report from the US Postal Service's internal watchdog warns that late ballots, bad envelope designs, and outdated registries could jeopardize voting in November",,20200902-0030
/tesla-market-cap-no-7-largest-us-company-share-split-2020-9,Tesla moved into the No. 7 spot for most valuable US companies by market cap,,20200902-0030
